source_text,target_text
complete: Ornithologist Richard,"Zann perished in the King-lake fire, along with his wife Eileen and daughter Eva."
complete: Puckian craters are named after mischievous ghosts in,European mythology.
complete: It was made to be easier than other 3D,CAD programs.
complete: It is since used for a range,of light tints chosen for their neutral or cool appearance.
complete: The story of Tristan and Isolde is,a perfect romance of the Middle Ages and Renaissance.
complete: Leicester is the largest city in the region. It is the largest conurbation is,the Nottingham Urban Area.
complete: People with color blindness would not be,able to use information on screens with few colors.
complete: Neither said that God appeared,in three different ways.
complete: Jack Lemmon,chases Stallone because he believes Stallone to be a pickpocket.
complete: The last part of the storm,went up the United States' east coast. It became a part of a larger storm on June 5.
"complete: Although they supposed to study just Jupiter and Saturn, the two probes continued their mission into the outer",solar system.
complete: There are several versions of the protocol. Versions 1 3 occurred only,within MIT.
complete: The Civil Aviation,Authority (CAA) oversees and regulates aviation in the United Kingdom.
complete: The sanctuary of Endymion at Heracleia on the southern slope of Latmus still exists. It is a horseshoe-shaped,chamber with an entrance hall and pillared forecourt.
complete: The nervous system gets color by,comparing the responses to light from the cone photoreceptors in the eye.
"complete: At that time, the area had Greta Swamp. It was",later drained.
"complete: The National Capital Region is 5,319 square kilometres. It is on the boundary",between Ontario and Quebec.
complete: He has collaborated with artists who perform in a variety of,genres and styles.
complete: A lorry carrying about 440 pounds of explosives crashed through the main gate,of the Central Bank.
"complete: In 1795, the British navy started having",lemons or limes as standard issue at sea.
complete: This means is has four,sides of the same length and four angle of the same size.
complete: Following the game Benoit celebrated his winning with,reigning WWE champion Eddie Guerrero.
complete: One of the roller coasters at Six Flags Great Adventure in New Jersey,is named Kingda Ka.
complete: Quite possible the Berber Muslim Almoravids,were originally from the area.
"complete: County councils were responsible for more strategic services in a region, as the Education Act 1902, c. 42. In 1894 smaller smaller urban and rural councils were responsible",for other activities.
"complete: Their motto, ""We wu n't be druv"", depicts the strong-willed nature of its people",in past centuries.
"complete: A service station, garage, gasbar or petrol",bunk is a facility that sells fuel and lubricants for motor vehicles.
complete: Modified SUVs are used,in races like the Paris-Dakar Rally and the Australian Outback.
"complete: Mélodies are still composed today, but the last great composer of them died",in 1963.
"complete: Romulus was discovered on February 18, 2001 by Michael E. Brown and",Jean-Luc Margot.
"complete: They run 20 hours a day, 364 days","a year. At any time, 95% of them are running and they can handle 13,000 passengers per hour."
complete: Seleucidis melanoleucus or Seleucidis melanoleuca is,a bird of paradise that is black and yellow and 33 centimeters long.
complete: Troposodon minor Sthenurus oreas Simosthenurus occidentalis was a similar,"heigh to a current day Eastern Grey Kangaroo. However, it was much stronger."
complete: Not many senior,American economists agreed with Keynes in the 1930s.
complete: The Roman Catholic,Church takes The Double Standard View.
complete: Jorg Heinrich is a German football,player.
complete: Peter Richardson then made a deal for six individual half-hour movies. The group,became comedy actors instead of stand-up performers.
complete: Roseanne was an American sitcom on ABC from 1988,to 1997. Roseanne Barr was in it.
complete: Rather than focus,"only on mainstream acts, Revolver introduces many acts not on the radio or MTV."
complete: The strategy of problem-solving relies,"on ""appeals"" rather than force."
complete: Coles Supermarkets is an Australian chain.,The chain is owned by Wesfarmers.
complete: At first it,smells pleasantly like apples but it becomes strangely musky if overripe.
complete: Because the,"neck is not visible at its exterior, the head and body seem to merge."
complete: Some speculative sources claim he was in Paris from,1308-1310.
complete: Tortugas Bank is still further,west. It is completely under.
complete: Then she allegedly found the hiding place of three,crosses used at the crucifixion of Jesus and the two thieves. Dismas and Gestas were killed with him.
"complete: In 1996, Barker",played himself in Happy Gilmore. It was an Adam Sandler comedy
complete: Dave Hampton and Caleb Chung,created the Furby in only nine months. This was in addition to nine months designing the toy.
"complete: The state's population is mostly in South East Queensland. That includes the capital Brisbane,","Logan City, Ipswich, Toowoomba, and the Gold and Sunshine Coasts."
complete: It is thought they made,up for this lack by regularly eating thiamine-rich soba.
